customer_id,name,country,signup_date,risk_profile_seed
CUST000000,Allison Hill,PK,2024-03-08,0
CUST000001,Megan Mcclain,DE,2023-10-23,1
CUST000002,Allen Robinson,US,2024-12-17,0
CUST000003,Cristian Santos,CN,2025-01-26,0
CUST000004,Kevin Pacheco,NL,2023-08-03,0
CUST000005,Melissa Peterson,US,2023-12-31,0
CUST000006,Gabrielle Davis,CN,2023-11-02,0
CUST000007,Lindsey Roman,CN,2025-07-31,0
CUST000008,Valerie Gray,CN,2025-02-02,0
CUST000009,Lisa Hensley,IN,2025-02-27,0
CUST000010,Amber Perez,PK,2024-05-14,0
CUST000011,David Garcia,GB,2024-05-02,1
CUST000012,Holly Wood,FR,2024-02-23,0
CUST000013,Timothy Wong,DE,2025-03-31,0
CUST000014,Nicholas Martin,FR,2024-08-12,0
CUST000015,Margaret Hawkins DDS,NL,2025-11-21,0
CUST000016,Crystal Johnson,FR,2024-06-09,0
CUST000017,Daniel Hahn,PK,2025-12-25,0
CUST000018,Matthew Foster,CN,2026-02-02,0
CUST000019,Derek Wright,NL,2025-02-11,0
CUST000020,Kevin Hurst,AE,2024-09-01,0
CUST000021,Zachary Hicks,SA,2023-10-27,0
CUST000022,Brian Burton,FR,2025-10-01,0
CUST000023,Arthur James,US,2026-04-25,0
CUST000024,Tricia Valencia,DE,2023-08-08,0
CUST000025,Melanie Herrera,US,2024-04-21,0
CUST000026,Ashley Graham,US,2024-10-26,0
CUST000027,Sherri Baker,IN,2024-12-12,0
CUST000028,Thomas Harrell,FR,2024-05-23,0
CUST000029,Lisa Hernandez,FR,2025-09-02,0
CUST000030,Paula Moreno,AE,2023-07-28,0
CUST000031,Alec Hickman,US,2025-12-27,0
CUST000032,Elizabeth Brown,GB,2025-12-27,0
CUST000033,Angelica Tucker,DE,2023-10-05,0
CUST000034,Pamela Anderson,NL,2024-11-17,1
CUST000035,Deborah Brennan,CN,2024-09-25,0
CUST000036,Joshua Blair,FR,2024-02-15,0
CUST000037,Zachary Santos,PK,2024-10-10,0
CUST000038,Barbara Walker,PK,2024-07-02,0
CUST000039,Crystal Robinson,NL,2023-10-07,0
CUST000040,Crystal Whitehead,DE,2025-12-08,0
CUST000041,David Caldwell,SA,2024-02-28,0
CUST000042,Timothy Duncan,FR,2024-11-14,0
CUST000043,Rhonda Lee,IN,2023-11-02,0
CUST000044,Jeff Owens,IN,2025-07-30,0
CUST000045,Victoria Garcia,GB,2024-09-05,0
CUST000046,Scott Wright,CN,2024-02-04,0
CUST000047,Javier Ramirez,SA,2024-04-04,0
CUST000048,Jessica Callahan,SA,2025-01-31,0
CUST000049,Zachary Huff,DE,2026-03-28,0
CUST000050,Sarah Martin,GB,2024-11-27,1
CUST000051,James Brown,US,2024-08-12,0
CUST000052,Mrs. Rachel Gibson,US,2024-09-25,0
CUST000053,Whitney Peters,GB,2025-07-19,0
CUST000054,Edward Novak,NL,2025-03-01,0
CUST000055,Nicole Brown,NL,2025-03-06,0
CUST000056,Sarah Moore,IN,2026-03-20,0
CUST000057,Cody Larson,CN,2025-06-06,0
CUST000058,Bryan Zamora,PK,2024-03-31,0
CUST000059,Lisa Barnes,US,2025-03-06,0
CUST000060,Taylor Harris,CN,2025-07-17,0
CUST000061,James Powers,FR,2024-05-24,0
CUST000062,Paul Jones,NL,2024-10-31,0
CUST000063,Dr. Angel Lewis MD,PK,2026-02-20,0
CUST000064,Sherry Wood,AE,2024-01-02,0
CUST000065,Michele Carr,GB,2026-04-16,0
CUST000066,Aimee Montoya,US,2024-05-24,0
CUST000067,Teresa Taylor,AE,2023-11-21,0
CUST000068,Juan Nelson,CN,2025-03-27,0
CUST000069,Christina Walters,GB,2024-04-18,1
CUST000070,Taylor Mathis Jr.,GB,2024-09-26,0
CUST000071,Aaron Wise,CN,2025-04-28,0
CUST000072,Patrick Arnold,SA,2024-09-30,0
CUST000073,Benjamin Ware,PK,2026-01-22,0
CUST000074,Sandra Aguilar,FR,2023-12-23,0
CUST000075,Eric Nolan,AE,2025-10-05,0
CUST000076,Stephanie Clark,DE,2024-04-04,0
CUST000077,Richard Henson,US,2024-09-08,0
CUST000078,Brittany Spears,IN,2025-12-13,0
CUST000079,Rita Keith,CN,2023-08-21,0
CUST000080,Evelyn Galvan,GB,2025-10-12,0
CUST000081,Rita Adams,CN,2025-09-27,0
CUST000082,Shane Garrison,CN,2024-03-07,0
CUST000083,Julia Torres,NL,2025-10-05,0
CUST000084,Alexander Lee,CN,2024-06-22,0
CUST000085,Tracy Ramirez,DE,2025-05-03,0
CUST000086,William Herrera,NL,2026-02-26,0
CUST000087,Wesley White,FR,2026-03-22,0
CUST000088,Brian Hamilton,CN,2025-07-29,0
CUST000089,Larry Dixon,DE,2024-08-18,0
CUST000090,Dawn Fletcher,FR,2023-07-29,0
CUST000091,Kimberly Ball,CN,2025-08-12,0
CUST000092,Helen Jones,DE,2025-05-26,0
CUST000093,,PK,2025-07-21,0
CUST000094,Eric Ortiz,PK,2024-09-04,0
CUST000095,Cameron Fisher,US,2026-02-28,0
CUST000096,Stephanie Gilbert,AE,2024-05-25,0
CUST000097,April Mitchell,DE,2024-10-02,0
CUST000098,Mary Marshall,SA,2024-10-14,0
CUST000099,John Santana,DE,2025-10-05,0
CUST000100,Bradley Robertson,NL,2025-04-24,0
CUST000101,Robert Potter,US,2025-06-03,0
CUST000102,Curtis Johnson,FR,2024-03-30,0
CUST000103,Samuel Jones,IN,2024-09-16,0
CUST000104,Cheyenne Horton,PK,2024-12-06,0
CUST000105,Matthew Smith,US,2025-08-21,0
CUST000106,Ashley Coleman,FR,2024-01-20,0
CUST000107,Kelly Williams,US,2024-04-03,0
CUST000108,Joyce Solis,DE,2025-05-29,0
CUST000109,Linda Dodson DVM,GB,2025-04-04,0
CUST000110,Kathy Rivas,AE,2025-01-29,0
CUST000111,Natasha Wells,US,2024-04-13,0
CUST000112,Mark Cannon,CN,2025-01-02,0
CUST000113,Denise Jones,CN,2024-05-10,0
CUST000114,Francisco Fernandez,US,2023-12-14,0
CUST000115,Michael Mccarthy,DE,2023-09-30,0
CUST000116,Joshua Perry,IN,2024-02-21,0
CUST000117,Taylor Silva,NL,2025-06-26,0
CUST000118,Pamela James,GB,2023-08-02,0
CUST000119,Paul Castaneda,NL,2026-03-13,0
CUST000120,Paul Payne,IN,2025-03-25,0
CUST000121,Daniel Graham,CN,2023-08-26,0
CUST000122,Michael Powell,IN,2024-01-10,0
CUST000123,Cameron Dean,AE,2023-08-24,0
CUST000124,Justin Johnson,PK,2025-05-04,0
CUST000125,Joel Williams,CN,2024-08-12,0
CUST000126,Gabriel Juarez,FR,2024-08-12,0
CUST000127,Sandra King,SA,2023-10-18,0
CUST000128,Joshua Cooke,CN,2024-07-14,0
CUST000129,Rachael Pearson,CN,2025-08-24,0
CUST000130,Christina Smith,GB,2023-12-28,0
CUST000131,Michael Elliott,US,2024-03-03,0
CUST000132,Pamela Jackson,DE,2025-03-29,0
CUST000133,Ashley Weiss,SA,2026-03-24,0
